time, nf, ns, fs, ss, fa, sa
0, 100, 2, 1, 1.25, 15, 10
0.01, 100, 2, 1, 1.25, 15, 10
0.02, 100, 2, 1, 1.25, 15, 10
0.03, 100, 2, 1, 1.25, 15, 10
0.04, 100, 2, 1, 1.25, 15, 10
0.05, 100, 2, 1, 1.25, 15, 10
0.06, 100, 2, 1, 1.25, 15, 10
0.07, 100, 2, 1, 1.25, 15, 10
0.08, 100, 2, 1, 1.25, 15, 10
0.09, 100, 2, 1, 1.25, 15, 10
0.10, 100, 2, 1, 1.25, 15, 10
0.11, 100, 2, 1, 1.25, 15, 10
0.12, 100, 2, 1, 1.25, 15, 10
0.13, 100, 2, 1, 1.25, 15, 10
0.14, 100, 2, 1, 1.25, 15, 10
0.15, 100, 2, 1, 1.25, 15, 10
0.16, 100, 2, 1, 1.25, 15, 10
0.17, 100, 2, 1, 1.25, 15, 10
0.18, 100, 2, 1, 1.25, 15, 10
0.19, 100, 2, 1, 1.25, 15, 10
0.20, 100, 2, 1, 1.25, 15, 10
0.21, 100, 2, 1, 1.25, 15, 10
0.22, 100, 2, 1, 1.25, 15, 10
0.23, 100, 2, 1, 1.25, 15, 10
0.24, 100, 2, 1, 1.25, 15, 10
0.25, 100, 2, 1, 1.25, 15, 10
0.26, 100, 2, 1, 1.25, 15, 10
0.27, 100, 2, 1, 1.25, 15, 10
0.28, 100, 2, 1, 1.25, 15, 10
0.29, 100, 2, 1, 1.25, 15, 10
0.30, 100, 2, 1, 1.25, 15, 10
0.31, 100, 2, 1, 1.25, 15, 10
0.32, 100, 2, 1, 1.25, 15, 10
0.33, 100, 2, 1, 1.25, 15, 10
0.34, 100, 2, 1, 1.25, 15, 10
0.35, 100, 2, 1, 1.25, 15, 10
0.36, 100, 2, 1, 1.25, 15, 10
0.37, 100, 2, 1, 1.25, 15, 10
0.38, 100, 2, 1, 1.25, 15, 10
0.39, 100, 2, 1, 1.25, 15, 10
0.40, 100, 2, 1, 1.25, 15, 10
0.41, 100, 2, 1, 1.25, 15, 10
0.42, 100, 2, 1, 1.25, 15, 10
0.43, 100, 2, 1, 1.25, 15, 10
0.44, 100, 2, 1, 1.25, 15, 10
0.45, 100, 2, 1, 1.25, 15, 10
0.46, 100, 2, 1, 1.25, 15, 10
0.47, 100, 2, 1, 1.25, 15, 10
0.48, 100, 2, 1, 1.25, 15, 10
0.49, 100, 2, 1, 1.25, 15, 10
0.50, 100, 2, 1, 1.25, 15, 10
0.51, 100, 2, 1, 1.25, 15, 10
0.52, 100, 2, 1, 1.25, 15, 10
0.53, 100, 2, 1, 1.25, 15, 10
0.54, 100, 2, 1, 1.25, 15, 10
0.55, 100, 2, 1, 1.25, 15, 10
0.56, 100, 2, 1, 1.25, 15, 10
0.57, 100, 2, 1, 1.25, 15, 10
0.58, 100, 2, 1, 1.25, 15, 10
0.59, 100, 2, 1, 1.25, 15, 10
0.60, 100, 2, 1, 1.25, 15, 10
0.61, 100, 2, 1, 1.25, 15, 10
0.62, 100, 2, 1, 1.25, 15, 10
0.63, 100, 2, 1, 1.25, 15, 10
0.64, 100, 2, 1, 1.25, 15, 10
0.65, 100, 2, 1, 1.25, 15, 10
0.66, 100, 2, 1, 1.25, 15, 10
0.67, 100, 2, 1, 1.25, 15, 10
0.68, 100, 2, 1, 1.25, 15, 10
0.69, 100, 2, 1, 1.25, 15, 10
0.70, 100, 2, 1, 1.25, 15, 10
0.71, 100, 2, 1, 1.25, 15, 10
0.72, 100, 2, 1, 1.25, 15, 10
0.73, 100, 2, 1, 1.25, 15, 10
0.74, 100, 2, 1, 1.25, 15, 10
0.75, 100, 2, 1, 1.25, 15, 10
0.76, 100, 2, 1, 1.25, 15, 10
0.77, 100, 2, 1, 1.25, 15, 10
0.78, 100, 2, 1, 1.25, 15, 10
0.79, 100, 2, 1, 1.25, 15, 10
0.80, 100, 2, 1, 1.25, 15, 10
0.81, 100, 2, 1, 1.25, 15, 10
0.82, 100, 2, 1, 1.25, 15, 10
0.83, 100, 2, 1, 1.25, 15, 10
0.84, 100, 2, 1, 1.25, 15, 10
0.85, 100, 2, 1, 1.25, 15, 10
0.86, 100, 2, 1, 1.25, 15, 10
0.87, 100, 2, 1, 1.25, 15, 10
0.88, 100, 2, 1, 1.25, 15, 10
0.89, 100, 2, 1, 1.25, 15, 10
0.90, 100, 2, 1, 1.25, 15, 10
0.91, 100, 2, 1, 1.25, 15, 10
0.92, 100, 2, 1, 1.25, 15, 10
0.93, 100, 2, 1, 1.25, 15, 10
0.94, 100, 2, 1, 1.25, 15, 10
0.95, 100, 2, 1, 1.25, 15, 10
0.96, 100, 2, 1, 1.25, 15, 10
0.97, 100, 2, 1, 1.25, 15, 10
0.98, 100, 2, 1, 1.25, 15, 10
0.99, 100, 2, 1, 1.25, 15, 10
1.00, 100, 2, 1, 1.25, 15, 10
1.01, 100, 2, 1, 1.25, 15, 10
1.02, 100, 2, 1, 1.25, 15, 10
1.03, 100, 2, 1, 1.25, 15, 10
1.04, 100, 2, 1, 1.25, 15, 10
1.05, 100, 2, 1, 1.25, 15, 10
1.06, 100, 2, 1, 1.25, 15, 10
1.07, 100, 2, 1, 1.25, 15, 10
1.08, 100, 2, 1, 1.25, 15, 10
1.09, 100, 2, 1, 1.25, 15, 10
1.10, 100, 2, 1, 1.25, 15, 10
1.11, 100, 2, 1, 1.25, 15, 10
1.12, 99, 2, 1, 1.25, 15, 10
1.13, 99, 2, 1, 1.25, 15, 10
1.14, 99, 2, 1, 1.25, 15, 10
1.15, 99, 2, 1, 1.25, 15, 10
1.16, 99, 2, 1, 1.25, 15, 10
1.17, 99, 2, 1, 1.25, 15, 10
1.18, 99, 2, 1, 1.25, 15, 10
1.19, 99, 2, 1, 1.25, 15, 10
1.20, 99, 2, 1, 1.25, 15, 10
1.21, 99, 2, 1, 1.25, 15, 10
1.22, 99, 2, 1, 1.25, 15, 10
1.23, 99, 2, 1, 1.25, 15, 10
1.24, 99, 2, 1, 1.25, 15, 10
1.25, 99, 2, 1, 1.25, 15, 10
1.26, 99, 2, 1, 1.25, 15, 10
1.27, 99, 2, 1, 1.25, 15, 10
1.28, 99, 2, 1, 1.25, 15, 10
1.29, 99, 2, 1, 1.25, 15, 10
1.30, 99, 2, 1, 1.25, 15, 10
1.31, 99, 2, 1, 1.25, 15, 10
1.32, 99, 2, 1, 1.25, 15, 10
1.33, 99, 2, 1, 1.25, 15, 10
1.34, 99, 2, 1, 1.25, 15, 10
1.35, 99, 2, 1, 1.25, 15, 10
1.36, 99, 2, 1, 1.25, 15, 10
1.37, 99, 2, 1, 1.25, 15, 10
1.38, 99, 2, 1, 1.25, 15, 10
1.39, 99, 2, 1, 1.25, 15, 10
1.40, 99, 2, 1, 1.25, 15, 10
1.41, 99, 2, 1, 1.25, 15, 10
1.42, 99, 2, 1, 1.25, 15, 10
1.43, 99, 2, 1, 1.25, 15, 10
1.44, 99, 2, 1, 1.25, 15, 10
1.45, 99, 2, 1, 1.25, 15, 10
1.46, 99, 2, 1, 1.25, 15, 10
1.47, 99, 2, 1, 1.25, 15, 10
1.48, 99, 2, 1, 1.25, 15, 10
1.49, 99, 2, 1, 1.25, 15, 10
1.50, 99, 2, 1, 1.25, 15, 10
1.51, 99, 2, 1, 1.25, 15, 10
1.52, 99, 2, 1, 1.25, 15, 10
1.53, 99, 2, 1, 1.25, 15, 10
1.54, 99, 2, 1, 1.25, 15, 10
1.55, 99, 2, 1, 1.25, 15, 10
1.56, 99, 2, 1, 1.25, 15, 10
1.57, 99, 2, 1, 1.25, 15, 10
1.58, 99, 2, 1, 1.25, 15, 10
1.59, 99, 2, 1, 1.25, 15, 10
1.60, 99, 2, 1, 1.25, 15, 10
1.61, 99, 2, 1, 1.25, 15, 10
1.62, 99, 2, 1, 1.25, 15, 10
1.63, 99, 2, 1, 1.25, 15, 10
1.64, 99, 2, 1, 1.25, 15, 10
1.65, 99, 2, 1, 1.25, 15, 10
1.66, 99, 2, 1, 1.25, 15, 10
1.67, 99, 2, 1, 1.25, 15, 10
1.68, 99, 2, 1, 1.25, 15, 10
1.69, 98, 2, 1, 1.25, 15, 10
1.70, 98, 2, 1, 1.25, 15, 10
1.71, 98, 2, 1, 1.25, 15, 10
1.72, 99, 2, 1.00101, 1.25, 14.9798, 10
1.73, 99, 2, 1.00101, 1.25, 14.9798, 10
1.74, 99, 2, 1.00101, 1.25, 14.9798, 10
1.75, 99, 2, 1.00101, 1.25, 14.9798, 10
1.76, 99, 2, 1.00101, 1.25, 14.9798, 10
1.77, 99, 2, 1.00101, 1.25, 14.9798, 10
1.78, 100, 2, 1.002, 1.25, 15, 10
1.79, 100, 2, 1.002, 1.25, 15, 10
1.80, 100, 2, 1.002, 1.25, 15, 10
1.81, 100, 2, 1.002, 1.25, 15, 10
1.82, 100, 2, 1.002, 1.25, 15, 10
1.83, 100, 2, 1.002, 1.25, 15, 10
1.84, 100, 2, 1.002, 1.25, 15, 10
1.85, 100, 2, 1.002, 1.25, 15, 10
1.86, 100, 2, 1.002, 1.25, 15, 10
1.87, 101, 2, 1.00297, 1.25, 14.9802, 10
1.88, 101, 2, 1.00297, 1.25, 14.9802, 10
1.89, 101, 2, 1.00297, 1.25, 14.9802, 10
1.90, 101, 2, 1.00297, 1.25, 14.9802, 10
1.91, 101, 2, 1.00297, 1.25, 14.9802, 10
1.92, 101, 2, 1.00297, 1.25, 14.9802, 10
1.93, 101, 2, 1.00297, 1.25, 14.9802, 10
1.94, 101, 2, 1.00297, 1.25, 14.9802, 10
1.95, 101, 2, 1.00297, 1.25, 14.9802, 10
1.96, 101, 2, 1.00297, 1.25, 14.9802, 10
1.97, 101, 2, 1.00297, 1.25, 14.9802, 10
1.98, 101, 2, 1.00297, 1.25, 14.9802, 10
1.99, 101, 2, 1.00297, 1.25, 14.9802, 10
2.00, 101, 2, 1.00297, 1.25, 14.9802, 10
2.01, 101, 2, 1.00297, 1.25, 14.9802, 10
2.02, 101, 2, 1.00297, 1.25, 14.9802, 10
2.03, 101, 2, 1.00297, 1.25, 14.9802, 10
2.04, 101, 2, 1.00297, 1.25, 14.9802, 10
2.05, 100, 2, 1.003, 1.25, 14.98, 10
2.06, 100, 2, 1.003, 1.25, 14.98, 10
2.07, 100, 2, 1.003, 1.25, 14.98, 10
2.08, 101, 2, 1.00396, 1.25, 14.9604, 10
2.09, 101, 2, 1.00396, 1.25, 14.9604, 10
2.10, 102, 2, 1.004902, 1.25, 14.94118, 10
2.11, 102, 2, 1.004902, 1.25, 14.94118, 10
2.12, 102, 2, 1.004902, 1.25, 14.94118, 10
2.13, 102, 2, 1.004902, 1.25, 14.94118, 10
2.14, 102, 2, 1.004902, 1.25, 14.94118, 10
2.15, 102, 2, 1.004902, 1.25, 14.94118, 10
2.16, 102, 2, 1.004902, 1.25, 14.94118, 10
2.17, 102, 2, 1.004902, 1.25, 14.94118, 10
2.18, 102, 2, 1.004902, 1.25, 14.94118, 10
2.19, 102, 2, 1.004902, 1.25, 14.94118, 10
2.20, 102, 2, 1.004902, 1.25, 14.94118, 10
2.21, 102, 2, 1.004902, 1.25, 14.94118, 10
2.22, 102, 2, 1.004902, 1.25, 14.94118, 10
2.23, 102, 2, 1.004902, 1.25, 14.94118, 10
2.24, 102, 2, 1.004902, 1.25, 14.94118, 10
2.25, 102, 2, 1.004902, 1.25, 14.94118, 10
2.26, 102, 2, 1.004902, 1.25, 14.94118, 10
2.27, 102, 2, 1.004902, 1.25, 14.94118, 10
2.28, 102, 2, 1.004902, 1.25, 14.94118, 10
2.29, 102, 2, 1.004902, 1.25, 14.94118, 10
2.30, 103, 2, 1.005825, 1.25, 14.92233, 10
2.31, 103, 2, 1.005825, 1.25, 14.92233, 10
2.32, 103, 2, 1.005825, 1.25, 14.92233, 10
2.33, 103, 2, 1.005825, 1.25, 14.92233, 10
2.34, 103, 2, 1.005825, 1.25, 14.92233, 10
2.35, 103, 2, 1.005825, 1.25, 14.92233, 10
2.36, 103, 2, 1.005825, 1.25, 14.92233, 10
2.37, 103, 2, 1.005825, 1.25, 14.92233, 10
2.38, 103, 2, 1.005825, 1.25, 14.92233, 10
2.39, 103, 2, 1.005825, 1.25, 14.92233, 10
2.40, 103, 2, 1.005825, 1.25, 14.92233, 10
2.41, 103, 2, 1.005825, 1.25, 14.92233, 10
2.42, 103, 2, 1.005825, 1.25, 14.92233, 10
2.43, 103, 2, 1.005825, 1.25, 14.92233, 10
2.44, 103, 2, 1.005825, 1.25, 14.92233, 10
2.45, 103, 2, 1.005825, 1.25, 14.92233, 10
2.46, 103, 2, 1.005825, 1.25, 14.92233, 10
2.47, 103, 2, 1.005825, 1.25, 14.92233, 10
2.48, 103, 2, 1.005825, 1.25, 14.92233, 10
2.49, 103, 2, 1.005825, 1.25, 14.92233, 10
2.50, 103, 2, 1.005825, 1.25, 14.92233, 10
2.51, 103, 2, 1.005825, 1.25, 14.92233, 10
2.52, 103, 2, 1.005825, 1.25, 14.92233, 10
2.53, 103, 2, 1.005825, 1.25, 14.92233, 10
2.54, 103, 2, 1.005825, 1.25, 14.92233, 10
2.55, 103, 2, 1.005825, 1.25, 14.92233, 10
2.56, 103, 2, 1.005825, 1.25, 14.92233, 10
2.57, 103, 2, 1.005825, 1.25, 14.92233, 10
2.58, 103, 2, 1.005825, 1.25, 14.92233, 10
2.59, 103, 2, 1.005825, 1.25, 14.92233, 10
2.60, 103, 2, 1.005825, 1.25, 14.92233, 10
2.61, 103, 2, 1.005825, 1.25, 14.92233, 10
2.62, 103, 2, 1.005825, 1.25, 14.92233, 10
2.63, 103, 2, 1.005825, 1.25, 14.92233, 10
2.64, 103, 2, 1.005825, 1.25, 14.92233, 10
2.65, 103, 2, 1.005825, 1.25, 14.92233, 10
2.66, 103, 2, 1.005825, 1.25, 14.92233, 10
2.67, 103, 2, 1.005825, 1.25, 14.92233, 10
2.68, 103, 2, 1.005825, 1.25, 14.92233, 10
2.69, 103, 2, 1.005825, 1.25, 14.92233, 10
2.70, 103, 2, 1.005825, 1.25, 14.92233, 10
2.71, 103, 2, 1.005825, 1.25, 14.92233, 10
2.72, 103, 2, 1.005825, 1.25, 14.92233, 10
2.73, 103, 2, 1.005825, 1.25, 14.92233, 10
2.74, 103, 2, 1.005825, 1.25, 14.92233, 10
2.75, 103, 2, 1.005825, 1.25, 14.92233, 10
2.76, 103, 2, 1.005825, 1.25, 14.92233, 10
2.77, 103, 2, 1.005825, 1.25, 14.92233, 10
2.78, 103, 2, 1.005825, 1.25, 14.92233, 10
2.79, 103, 2, 1.005825, 1.25, 14.92233, 10
2.80, 103, 2, 1.005825, 1.25, 14.92233, 10
2.81, 103, 2, 1.005825, 1.25, 14.92233, 10
2.82, 103, 2, 1.005825, 1.25, 14.92233, 10
2.83, 103, 2, 1.005825, 1.25, 14.92233, 10
2.84, 103, 2, 1.005825, 1.25, 14.92233, 10
2.85, 103, 2, 1.005825, 1.25, 14.92233, 10
2.86, 103, 2, 1.005825, 1.25, 14.92233, 10
2.87, 103, 2, 1.005825, 1.25, 14.92233, 10
2.88, 103, 2, 1.005825, 1.25, 14.92233, 10
2.89, 103, 2, 1.005825, 1.25, 14.92233, 10
2.90, 103, 2, 1.005825, 1.25, 14.92233, 10
2.91, 103, 2, 1.005825, 1.25, 14.92233, 10
2.92, 103, 2, 1.005825, 1.25, 14.92233, 10
2.93, 103, 2, 1.005825, 1.25, 14.92233, 10
2.94, 103, 2, 1.005825, 1.25, 14.92233, 10
2.95, 103, 2, 1.005825, 1.25, 14.92233, 10
2.96, 103, 2, 1.005825, 1.25, 14.92233, 10
2.97, 103, 2, 1.005825, 1.25, 14.92233, 10
2.98, 103, 2, 1.005825, 1.25, 14.92233, 10
2.99, 103, 2, 1.005825, 1.25, 14.92233, 10
