time, nf, ns, fs, ss, fa, sa
0, 100, 5, 1, 1.25, 20, 20
0.01, 100, 5, 1, 1.25, 20, 20
0.02, 100, 5, 1, 1.25, 20, 20
0.03, 100, 5, 1, 1.25, 20, 20
0.04, 100, 5, 1, 1.25, 20, 20
0.05, 100, 5, 1, 1.25, 20, 20
0.06, 100, 5, 1, 1.25, 20, 20
0.07, 100, 5, 1, 1.25, 20, 20
0.08, 100, 5, 1, 1.25, 20, 20
0.09, 100, 5, 1, 1.25, 20, 20
0.10, 100, 5, 1, 1.25, 20, 20
0.11, 100, 5, 1, 1.25, 20, 20
0.12, 100, 5, 1, 1.25, 20, 20
0.13, 100, 5, 1, 1.25, 20, 20
0.14, 100, 5, 1, 1.25, 20, 20
0.15, 100, 5, 1, 1.25, 20, 20
0.16, 100, 5, 1, 1.25, 20, 20
0.17, 100, 5, 1, 1.25, 20, 20
0.18, 100, 5, 1, 1.25, 20, 20
0.19, 100, 5, 1, 1.25, 20, 20
0.20, 100, 5, 1, 1.25, 20, 20
0.21, 100, 5, 1, 1.25, 20, 20
0.22, 100, 5, 1, 1.25, 20, 20
0.23, 100, 5, 1, 1.25, 20, 20
0.24, 100, 5, 1, 1.25, 20, 20
0.25, 100, 5, 1, 1.25, 20, 20
0.26, 100, 5, 1, 1.25, 20, 20
0.27, 100, 5, 1, 1.25, 20, 20
0.28, 100, 5, 1, 1.25, 20, 20
0.29, 100, 5, 1, 1.25, 20, 20
0.30, 100, 5, 1, 1.25, 20, 20
0.31, 100, 5, 1, 1.25, 20, 20
0.32, 100, 5, 1, 1.25, 20, 20
0.33, 100, 5, 1, 1.25, 20, 20
0.34, 100, 5, 1, 1.25, 20, 20
0.35, 100, 5, 1, 1.25, 20, 20
0.36, 100, 5, 1, 1.25, 20, 20
0.37, 100, 5, 1, 1.25, 20, 20
0.38, 100, 5, 1, 1.25, 20, 20
0.39, 100, 5, 1, 1.25, 20, 20
0.40, 100, 5, 1, 1.25, 20, 20
0.41, 100, 5, 1, 1.25, 20, 20
0.42, 100, 5, 1, 1.25, 20, 20
0.43, 100, 5, 1, 1.25, 20, 20
0.44, 100, 5, 1, 1.25, 20, 20
0.45, 100, 5, 1, 1.25, 20, 20
0.46, 100, 5, 1, 1.25, 20, 20
0.47, 100, 5, 1, 1.25, 20, 20
0.48, 100, 5, 1, 1.25, 20, 20
0.49, 100, 5, 1, 1.25, 20, 20
0.50, 100, 5, 1, 1.25, 20, 20
0.51, 100, 5, 1, 1.25, 20, 20
0.52, 100, 5, 1, 1.25, 20, 20
0.53, 100, 5, 1, 1.25, 20, 20
0.54, 100, 5, 1, 1.25, 20, 20
0.55, 100, 5, 1, 1.25, 20, 20
0.56, 100, 5, 1, 1.25, 20, 20
0.57, 100, 5, 1, 1.25, 20, 20
0.58, 100, 5, 1, 1.25, 20, 20
0.59, 100, 5, 1, 1.25, 20, 20
0.60, 100, 5, 1, 1.25, 20, 20
0.61, 100, 5, 1, 1.25, 20, 20
0.62, 100, 5, 1, 1.25, 20, 20
0.63, 100, 5, 1, 1.25, 20, 20
0.64, 100, 5, 1, 1.25, 20, 20
0.65, 100, 5, 1, 1.25, 20, 20
0.66, 100, 5, 1, 1.25, 20, 20
0.67, 100, 5, 1, 1.25, 20, 20
0.68, 100, 5, 1, 1.25, 20, 20
0.69, 100, 5, 1, 1.25, 20, 20
0.70, 100, 5, 1, 1.25, 20, 20
0.71, 100, 5, 1, 1.25, 20, 20
0.72, 100, 5, 1, 1.25, 20, 20
0.73, 100, 5, 1, 1.25, 20, 20
0.74, 100, 5, 1, 1.25, 20, 20
0.75, 99, 5, 1, 1.25, 20, 20
0.76, 99, 5, 1, 1.25, 20, 20
0.77, 99, 5, 1, 1.25, 20, 20
0.78, 99, 5, 1, 1.25, 20, 20
0.79, 99, 5, 1, 1.25, 20, 20
0.80, 99, 5, 1, 1.25, 20, 20
0.81, 99, 5, 1, 1.25, 20, 20
0.82, 99, 5, 1, 1.25, 20, 20
0.83, 99, 5, 1, 1.25, 20, 20
0.84, 99, 5, 1, 1.25, 20, 20
0.85, 99, 5, 1, 1.25, 20, 20
0.86, 99, 5, 1, 1.25, 20, 20
0.87, 99, 5, 1, 1.25, 20, 20
0.88, 99, 5, 1, 1.25, 20, 20
0.89, 99, 5, 1, 1.25, 20, 20
0.90, 99, 5, 1, 1.25, 20, 20
0.91, 99, 5, 1, 1.25, 20, 20
0.92, 99, 5, 1, 1.25, 20, 20
0.93, 99, 5, 1, 1.25, 20, 20
0.94, 99, 5, 1, 1.25, 20, 20
0.95, 99, 5, 1, 1.25, 20, 20
0.96, 99, 5, 1, 1.25, 20, 20
0.97, 99, 5, 1, 1.25, 20, 20
0.98, 99, 5, 1, 1.25, 20, 20
0.99, 99, 5, 1, 1.25, 20, 20
1.00, 99, 5, 1, 1.25, 20, 20
1.01, 99, 5, 1, 1.25, 20, 20
1.02, 99, 5, 1, 1.25, 20, 20
1.03, 99, 5, 1, 1.25, 20, 20
1.04, 99, 5, 1, 1.25, 20, 20
1.05, 99, 5, 1, 1.25, 20, 20
1.06, 99, 5, 1, 1.25, 20, 20
1.07, 99, 5, 1, 1.25, 20, 20
1.08, 99, 5, 1, 1.25, 20, 20
1.09, 99, 5, 1, 1.25, 20, 20
1.10, 99, 5, 1, 1.25, 20, 20
1.11, 99, 5, 1, 1.25, 20, 20
1.12, 99, 5, 1, 1.25, 20, 20
1.13, 99, 5, 1, 1.25, 20, 20
1.14, 99, 5, 1, 1.25, 20, 20
1.15, 99, 5, 1, 1.25, 20, 20
1.16, 99, 5, 1, 1.25, 20, 20
1.17, 99, 5, 1, 1.25, 20, 20
1.18, 99, 5, 1, 1.25, 20, 20
1.19, 99, 5, 1, 1.25, 20, 20
1.20, 99, 5, 1, 1.25, 20, 20
1.21, 99, 5, 1, 1.25, 20, 20
1.22, 99, 5, 1, 1.25, 20, 20
1.23, 99, 5, 1, 1.25, 20, 20
1.24, 99, 5, 1, 1.25, 20, 20
1.25, 99, 5, 1, 1.25, 20, 20
1.26, 99, 5, 1, 1.25, 20, 20
1.27, 99, 5, 1, 1.25, 20, 20
1.28, 99, 5, 1, 1.25, 20, 20
1.29, 99, 5, 1, 1.25, 20, 20
1.30, 99, 5, 1, 1.25, 20, 20
1.31, 99, 5, 1, 1.25, 20, 20
1.32, 99, 5, 1, 1.25, 20, 20
1.33, 99, 5, 1, 1.25, 20, 20
1.34, 99, 5, 1, 1.25, 20, 20
1.35, 99, 5, 1, 1.25, 20, 20
1.36, 99, 5, 1, 1.25, 20, 20
1.37, 99, 5, 1, 1.25, 20, 20
1.38, 99, 5, 1, 1.25, 20, 20
1.39, 99, 5, 1, 1.25, 20, 20
1.40, 99, 5, 1, 1.25, 20, 20
1.41, 99, 5, 1, 1.25, 20, 20
1.42, 99, 5, 1, 1.25, 20, 20
1.43, 99, 5, 1, 1.25, 20, 20
1.44, 99, 5, 1, 1.25, 20, 20
1.45, 99, 5, 1, 1.25, 20, 20
1.46, 99, 5, 1, 1.25, 20, 20
1.47, 99, 5, 1, 1.25, 20, 20
1.48, 98, 5, 1, 1.25, 20, 20
1.49, 98, 5, 1, 1.25, 20, 20
1.50, 98, 5, 1, 1.25, 20, 20
1.51, 98, 5, 1, 1.25, 20, 20
1.52, 98, 5, 1, 1.25, 20, 20
1.53, 97, 5, 1, 1.25, 20, 20
1.54, 97, 5, 1, 1.25, 20, 20
1.55, 97, 5, 1, 1.25, 20, 20
1.56, 97, 5, 1, 1.25, 20, 20
1.57, 97, 5, 1, 1.25, 20, 20
1.58, 97, 5, 1, 1.25, 20, 20
1.59, 97, 5, 1, 1.25, 20, 20
1.60, 97, 5, 1, 1.25, 20, 20
1.61, 97, 5, 1, 1.25, 20, 20
1.62, 97, 5, 1, 1.25, 20, 20
1.63, 97, 5, 1, 1.25, 20, 20
1.64, 97, 5, 1, 1.25, 20, 20
1.65, 97, 5, 1, 1.25, 20, 20
1.66, 97, 5, 1, 1.25, 20, 20
1.67, 97, 5, 1, 1.25, 20, 20
1.68, 97, 5, 1, 1.25, 20, 20
1.69, 97, 5, 1, 1.25, 20, 20
1.70, 97, 5, 1, 1.25, 20, 20
1.71, 97, 5, 1, 1.25, 20, 20
1.72, 97, 5, 1, 1.25, 20, 20
1.73, 97, 5, 1, 1.25, 20, 20
1.74, 97, 5, 1, 1.25, 20, 20
1.75, 97, 5, 1, 1.25, 20, 20
1.76, 97, 5, 1, 1.25, 20, 20
1.77, 97, 5, 1, 1.25, 20, 20
