time, nf, ns, fs, ss, fa, sa
0, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.01, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.02, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.03, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.04, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.05, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.06, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.07, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.08, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.09, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.10, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.11, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.12, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.13, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.14, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.15, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.16, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.17, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.18, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.19, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.20, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.21, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.22, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.23, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.24, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.25, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.26, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.27, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.28, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.29, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.30, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.31, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.32, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.33, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.34, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.35, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.36, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.37, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.38, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.39, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.40, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.41, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.42, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.43, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.44, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.45, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.46, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.47, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.48, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.49, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.50, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.51, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.52, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.53, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.54, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.55, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.56, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.57, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.58, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.59, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.60, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.61, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.62, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
0.63, 100, 5, 1.000339, 1.201537, 20.1196, 19.91691
