time, nf, ns, fs, ss, fa, sa
0, 100, 2, 1, 1.25, 15, 10
0.01, 100, 2, 1, 1.25, 15, 10
0.02, 100, 2, 1, 1.25, 15, 10
0.03, 100, 2, 1, 1.25, 15, 10
0.04, 100, 2, 1, 1.25, 15, 10
0.05, 100, 2, 1, 1.25, 15, 10
0.06, 100, 2, 1, 1.25, 15, 10
0.07, 100, 2, 1, 1.25, 15, 10
0.08, 100, 2, 1, 1.25, 15, 10
0.09, 100, 2, 1, 1.25, 15, 10
0.10, 100, 2, 1, 1.25, 15, 10
0.11, 100, 2, 1, 1.25, 15, 10
0.12, 100, 2, 1, 1.25, 15, 10
0.13, 100, 2, 1, 1.25, 15, 10
0.14, 100, 2, 1, 1.25, 15, 10
0.15, 100, 2, 1, 1.25, 15, 10
0.16, 100, 2, 1, 1.25, 15, 10
0.17, 100, 2, 1, 1.25, 15, 10
0.18, 100, 2, 1, 1.25, 15, 10
0.19, 100, 2, 1, 1.25, 15, 10
0.20, 100, 2, 1, 1.25, 15, 10
0.21, 100, 2, 1, 1.25, 15, 10
0.22, 100, 2, 1, 1.25, 15, 10
0.23, 100, 2, 1, 1.25, 15, 10
0.24, 100, 2, 1, 1.25, 15, 10
0.25, 100, 2, 1, 1.25, 15, 10
0.26, 100, 2, 1, 1.25, 15, 10
0.27, 100, 2, 1, 1.25, 15, 10
0.28, 100, 2, 1, 1.25, 15, 10
0.29, 100, 2, 1, 1.25, 15, 10
0.30, 100, 2, 1, 1.25, 15, 10
0.31, 100, 2, 1, 1.25, 15, 10
0.32, 100, 2, 1, 1.25, 15, 10
0.33, 100, 2, 1, 1.25, 15, 10
0.34, 100, 2, 1, 1.25, 15, 10
0.35, 100, 2, 1, 1.25, 15, 10
0.36, 100, 2, 1, 1.25, 15, 10
0.37, 100, 2, 1, 1.25, 15, 10
0.38, 100, 2, 1, 1.25, 15, 10
0.39, 100, 2, 1, 1.25, 15, 10
0.40, 100, 2, 1, 1.25, 15, 10
0.41, 100, 2, 1, 1.25, 15, 10
0.42, 100, 2, 1, 1.25, 15, 10
0.43, 100, 2, 1, 1.25, 15, 10
0.44, 100, 2, 1, 1.25, 15, 10
0.45, 100, 2, 1, 1.25, 15, 10
0.46, 100, 2, 1, 1.25, 15, 10
0.47, 100, 2, 1, 1.25, 15, 10
0.48, 100, 2, 1, 1.25, 15, 10
0.49, 100, 2, 1, 1.25, 15, 10
0.50, 100, 2, 1, 1.25, 15, 10
0.51, 100, 2, 1, 1.25, 15, 10
0.52, 100, 2, 1, 1.25, 15, 10
0.53, 100, 2, 1, 1.25, 15, 10
0.54, 100, 2, 1, 1.25, 15, 10
0.55, 100, 2, 1, 1.25, 15, 10
0.56, 100, 2, 1, 1.25, 15, 10
0.57, 100, 2, 1, 1.25, 15, 10
0.58, 100, 2, 1, 1.25, 15, 10
0.59, 100, 2, 1, 1.25, 15, 10
0.60, 100, 2, 1, 1.25, 15, 10
0.61, 100, 2, 1, 1.25, 15, 10
0.62, 100, 2, 1, 1.25, 15, 10
0.63, 100, 2, 1, 1.25, 15, 10
0.64, 100, 2, 1, 1.25, 15, 10
0.65, 100, 2, 1, 1.25, 15, 10
0.66, 100, 2, 1, 1.25, 15, 10
0.67, 100, 2, 1, 1.25, 15, 10
0.68, 100, 2, 1, 1.25, 15, 10
0.69, 100, 2, 1, 1.25, 15, 10
0.70, 100, 2, 1, 1.25, 15, 10
0.71, 100, 2, 1, 1.25, 15, 10
0.72, 100, 2, 1, 1.25, 15, 10
0.73, 100, 2, 1, 1.25, 15, 10
0.74, 100, 2, 1, 1.25, 15, 10
0.75, 100, 2, 1, 1.25, 15, 10
0.76, 100, 2, 1, 1.25, 15, 10
0.77, 100, 2, 1, 1.25, 15, 10
0.78, 100, 2, 1, 1.25, 15, 10
0.79, 100, 2, 1, 1.25, 15, 10
0.80, 100, 2, 1, 1.25, 15, 10
0.81, 100, 2, 1, 1.25, 15, 10
0.82, 100, 2, 1, 1.25, 15, 10
0.83, 100, 2, 1, 1.25, 15, 10
0.84, 100, 2, 1, 1.25, 15, 10
0.85, 100, 2, 1, 1.25, 15, 10
0.86, 100, 2, 1, 1.25, 15, 10
0.87, 100, 2, 1, 1.25, 15, 10
0.88, 100, 2, 1, 1.25, 15, 10
0.89, 100, 2, 1, 1.25, 15, 10
0.90, 99, 2, 1, 1.25, 15, 10
0.91, 99, 2, 1, 1.25, 15, 10
0.92, 99, 2, 1, 1.25, 15, 10
0.93, 99, 2, 1, 1.25, 15, 10
0.94, 99, 2, 1, 1.25, 15, 10
0.95, 99, 2, 1, 1.25, 15, 10
0.96, 99, 2, 1, 1.25, 15, 10
0.97, 99, 2, 1, 1.25, 15, 10
0.98, 99, 2, 1, 1.25, 15, 10
0.99, 99, 2, 1, 1.25, 15, 10
1.00, 99, 2, 1, 1.25, 15, 10
1.01, 99, 2, 1, 1.25, 15, 10
1.02, 99, 2, 1, 1.25, 15, 10
1.03, 99, 2, 1, 1.25, 15, 10
1.04, 99, 2, 1, 1.25, 15, 10
1.05, 99, 2, 1, 1.25, 15, 10
1.06, 99, 2, 1, 1.25, 15, 10
1.07, 99, 2, 1, 1.25, 15, 10
1.08, 99, 2, 1, 1.25, 15, 10
1.09, 99, 2, 1, 1.25, 15, 10
1.10, 99, 2, 1, 1.25, 15, 10
1.11, 99, 2, 1, 1.25, 15, 10
1.12, 99, 2, 1, 1.25, 15, 10
1.13, 99, 2, 1, 1.25, 15, 10
1.14, 99, 2, 1, 1.25, 15, 10
1.15, 99, 2, 1, 1.25, 15, 10
1.16, 99, 2, 1, 1.25, 15, 10
1.17, 99, 2, 1, 1.25, 15, 10
1.18, 99, 2, 1, 1.25, 15, 10
1.19, 99, 2, 1, 1.25, 15, 10
1.20, 99, 2, 1, 1.25, 15, 10
1.21, 99, 2, 1, 1.25, 15, 10
1.22, 99, 2, 1, 1.25, 15, 10
1.23, 99, 2, 1, 1.25, 15, 10
1.24, 99, 2, 1, 1.25, 15, 10
1.25, 99, 2, 1, 1.25, 15, 10
1.26, 99, 2, 1, 1.25, 15, 10
1.27, 99, 2, 1, 1.25, 15, 10
1.28, 99, 2, 1, 1.25, 15, 10
1.29, 99, 2, 1, 1.25, 15, 10
1.30, 99, 2, 1, 1.25, 15, 10
1.31, 99, 2, 1, 1.25, 15, 10
1.32, 99, 2, 1, 1.25, 15, 10
1.33, 99, 2, 1, 1.25, 15, 10
1.34, 99, 2, 1, 1.25, 15, 10
1.35, 99, 2, 1, 1.25, 15, 10
1.36, 99, 2, 1, 1.25, 15, 10
1.37, 99, 2, 1, 1.25, 15, 10
1.38, 99, 2, 1, 1.25, 15, 10
1.39, 99, 2, 1, 1.25, 15, 10
1.40, 99, 2, 1, 1.25, 15, 10
1.41, 99, 2, 1, 1.25, 15, 10
1.42, 99, 2, 1, 1.25, 15, 10
1.43, 99, 2, 1, 1.25, 15, 10
1.44, 99, 2, 1, 1.25, 15, 10
1.45, 99, 2, 1, 1.25, 15, 10
1.46, 99, 2, 1, 1.25, 15, 10
1.47, 99, 2, 1, 1.25, 15, 10
1.48, 99, 2, 1, 1.25, 15, 10
1.49, 99, 2, 1, 1.25, 15, 10
1.50, 99, 2, 1, 1.25, 15, 10
1.51, 99, 2, 1, 1.25, 15, 10
1.52, 99, 2, 1, 1.25, 15, 10
1.53, 99, 2, 1, 1.25, 15, 10
1.54, 99, 2, 1, 1.25, 15, 10
1.55, 99, 2, 1, 1.25, 15, 10
1.56, 98, 2, 1, 1.25, 15, 10
1.57, 98, 2, 1, 1.25, 15, 10
1.58, 98, 2, 1, 1.25, 15, 10
1.59, 98, 2, 1, 1.25, 15, 10
1.60, 98, 2, 1, 1.25, 15, 10
1.61, 98, 2, 1, 1.25, 15, 10
1.62, 98, 2, 1, 1.25, 15, 10
1.63, 98, 2, 1, 1.25, 15, 10
1.64, 98, 2, 1, 1.25, 15, 10
1.65, 98, 2, 1, 1.25, 15, 10
1.66, 98, 2, 1, 1.25, 15, 10
1.67, 98, 2, 1, 1.25, 15, 10
1.68, 98, 2, 1, 1.25, 15, 10
1.69, 98, 2, 1, 1.25, 15, 10
1.70, 98, 2, 1, 1.25, 15, 10
1.71, 98, 2, 1, 1.25, 15, 10
1.72, 97, 2, 1, 1.25, 15, 10
1.73, 97, 2, 1, 1.25, 15, 10
1.74, 97, 2, 1, 1.25, 15, 10
1.75, 97, 2, 1, 1.25, 15, 10
1.76, 97, 2, 1, 1.25, 15, 10
1.77, 97, 2, 1, 1.25, 15, 10
1.78, 97, 2, 1, 1.25, 15, 10
1.79, 97, 2, 1, 1.25, 15, 10
1.80, 97, 2, 1, 1.25, 15, 10
1.81, 97, 2, 1, 1.25, 15, 10
1.82, 97, 2, 1, 1.25, 15, 10
1.83, 97, 2, 1, 1.25, 15, 10
1.84, 97, 2, 1, 1.25, 15, 10
1.85, 97, 2, 1, 1.25, 15, 10
1.86, 97, 2, 1, 1.25, 15, 10
1.87, 97, 2, 1, 1.25, 15, 10
1.88, 97, 2, 1, 1.25, 15, 10
1.89, 97, 2, 1, 1.25, 15, 10
1.90, 97, 2, 1, 1.25, 15, 10
1.91, 97, 2, 1, 1.25, 15, 10
1.92, 97, 2, 1, 1.25, 15, 10
1.93, 97, 2, 1, 1.25, 15, 10
1.94, 97, 2, 1, 1.25, 15, 10
1.95, 97, 2, 1, 1.25, 15, 10
1.96, 97, 2, 1, 1.25, 15, 10
1.97, 97, 2, 1, 1.25, 15, 10
1.98, 97, 2, 1, 1.25, 15, 10
1.99, 97, 2, 1, 1.25, 15, 10
2.00, 97, 2, 1, 1.25, 15, 10
2.01, 97, 2, 1, 1.25, 15, 10
2.02, 97, 2, 1, 1.25, 15, 10
2.03, 97, 2, 1, 1.25, 15, 10
2.04, 97, 2, 1, 1.25, 15, 10
2.05, 97, 2, 1, 1.25, 15, 10
2.06, 97, 2, 1, 1.25, 15, 10
2.07, 97, 2, 1, 1.25, 15, 10
2.08, 97, 2, 1, 1.25, 15, 10
2.09, 97, 2, 1, 1.25, 15, 10
2.10, 97, 2, 1, 1.25, 15, 10
2.11, 97, 2, 1, 1.25, 15, 10
2.12, 97, 2, 1, 1.25, 15, 10
2.13, 98, 2, 1.00102, 1.25, 15.00204, 10
2.14, 98, 2, 1.00102, 1.25, 15.00204, 10
2.15, 98, 2, 1.00102, 1.25, 15.00204, 10
2.16, 98, 2, 1.00102, 1.25, 15.00204, 10
2.17, 98, 2, 1.00102, 1.25, 15.00204, 10
2.18, 98, 2, 1.00102, 1.25, 15.00204, 10
2.19, 98, 2, 1.00102, 1.25, 15.00204, 10
2.20, 98, 2, 1.00102, 1.25, 15.00204, 10
2.21, 98, 2, 1.00102, 1.25, 15.00204, 10
2.22, 98, 2, 1.00102, 1.25, 15.00204, 10
2.23, 98, 2, 1.00102, 1.25, 15.00204, 10
2.24, 98, 2, 1.00102, 1.25, 15.00204, 10
2.25, 98, 2, 1.00102, 1.25, 15.00204, 10
2.26, 98, 2, 1.00102, 1.25, 15.00204, 10
2.27, 98, 2, 1.00102, 1.25, 15.00204, 10
2.28, 98, 2, 1.00102, 1.25, 15.00204, 10
2.29, 98, 2, 1.00102, 1.25, 15.00204, 10
2.30, 98, 2, 1.00102, 1.25, 15.00204, 10
2.31, 98, 2, 1.00102, 1.25, 15.00204, 10
2.32, 98, 2, 1.00102, 1.25, 15.00204, 10
2.33, 98, 2, 1.00102, 1.25, 15.00204, 10
2.34, 98, 2, 1.00102, 1.25, 15.00204, 10
2.35, 98, 2, 1.00102, 1.25, 15.00204, 10
2.36, 98, 2, 1.00102, 1.25, 15.00204, 10
2.37, 98, 2, 1.00102, 1.25, 15.00204, 10
2.38, 98, 2, 1.00102, 1.25, 15.00204, 10
2.39, 98, 2, 1.00102, 1.25, 15.00204, 10
2.40, 98, 2, 1.00102, 1.25, 15.00204, 10
2.41, 98, 2, 1.00102, 1.25, 15.00204, 10
2.42, 98, 2, 1.00102, 1.25, 15.00204, 10
2.43, 98, 2, 1.00102, 1.25, 15.00204, 10
2.44, 98, 2, 1.00102, 1.25, 15.00204, 10
2.45, 98, 2, 1.00102, 1.25, 15.00204, 10
2.46, 98, 2, 1.00102, 1.25, 15.00204, 10
2.47, 98, 2, 1.00102, 1.25, 15.00204, 10
2.48, 98, 2, 1.00102, 1.25, 15.00204, 10
2.49, 98, 2, 1.00102, 1.25, 15.00204, 10
2.50, 98, 2, 1.00102, 1.25, 15.00204, 10
2.51, 98, 2, 1.00102, 1.25, 15.00204, 10
2.52, 98, 2, 1.00102, 1.25, 15.00204, 10
2.53, 98, 2, 1.00102, 1.25, 15.00204, 10
2.54, 98, 2, 1.00102, 1.25, 15.00204, 10
2.55, 98, 2, 1.00102, 1.25, 15.00204, 10
2.56, 98, 2, 1.00102, 1.25, 15.00204, 10
2.57, 98, 2, 1.00102, 1.25, 15.00204, 10
2.58, 98, 2, 1.00102, 1.25, 15.00204, 10
2.59, 98, 2, 1.00102, 1.25, 15.00204, 10
2.60, 98, 2, 1.00102, 1.25, 15.00204, 10
2.61, 98, 2, 1.00102, 1.25, 15.00204, 10
2.62, 98, 2, 1.00102, 1.25, 15.00204, 10
2.63, 98, 2, 1.00102, 1.25, 15.00204, 10
2.64, 98, 2, 1.00102, 1.25, 15.00204, 10
2.65, 98, 2, 1.00102, 1.25, 15.00204, 10
2.66, 98, 2, 1.00102, 1.25, 15.00204, 10
2.67, 98, 2, 1.00102, 1.25, 15.00204, 10
2.68, 98, 2, 1.00102, 1.25, 15.00204, 10
2.69, 98, 2, 1.00102, 1.25, 15.00204, 10
2.70, 98, 2, 1.00102, 1.25, 15.00204, 10
2.71, 97, 2, 1.001031, 1.25, 15.00206, 10
2.72, 97, 2, 1.001031, 1.25, 15.00206, 10
2.73, 97, 2, 1.001031, 1.25, 15.00206, 10
2.74, 97, 2, 1.001031, 1.25, 15.00206, 10
2.75, 97, 2, 1.001031, 1.25, 15.00206, 10
2.76, 97, 2, 1.001031, 1.25, 15.00206, 10
2.77, 97, 2, 1.001031, 1.25, 15.00206, 10
2.78, 97, 2, 1.001031, 1.25, 15.00206, 10
2.79, 97, 2, 1.001031, 1.25, 15.00206, 10
2.80, 97, 2, 1.001031, 1.25, 15.00206, 10
2.81, 97, 2, 1.001031, 1.25, 15.00206, 10
2.82, 97, 2, 1.001031, 1.25, 15.00206, 10
2.83, 97, 2, 1.001031, 1.25, 15.00206, 10
2.84, 97, 2, 1.001031, 1.25, 15.00206, 10
2.85, 97, 2, 1.001031, 1.25, 15.00206, 10
2.86, 97, 2, 1.001031, 1.25, 15.00206, 10
2.87, 97, 2, 1.001031, 1.25, 15.00206, 10
2.88, 97, 2, 1.001031, 1.25, 15.00206, 10
2.89, 97, 2, 1.001031, 1.25, 15.00206, 10
2.90, 97, 2, 1.001031, 1.25, 15.00206, 10
2.91, 97, 2, 1.001031, 1.25, 15.00206, 10
2.92, 97, 2, 1.001031, 1.25, 15.00206, 10
2.93, 97, 2, 1.001031, 1.25, 15.00206, 10
2.94, 97, 2, 1.001031, 1.25, 15.00206, 10
2.95, 97, 2, 1.001031, 1.25, 15.00206, 10
2.96, 97, 2, 1.001031, 1.25, 15.00206, 10
2.97, 97, 2, 1.001031, 1.25, 15.00206, 10
2.98, 97, 2, 1.001031, 1.25, 15.00206, 10
2.99, 97, 2, 1.001031, 1.25, 15.00206, 10
3.00, 96, 2, 1.001042, 1.25, 15.00208, 10
3.01, 96, 2, 1.001042, 1.25, 15.00208, 10
3.02, 96, 2, 1.001042, 1.25, 15.00208, 10
3.03, 96, 2, 1.001042, 1.25, 15.00208, 10
3.04, 96, 2, 1.001042, 1.25, 15.00208, 10
3.05, 96, 2, 1.001042, 1.25, 15.00208, 10
3.06, 96, 2, 1.001042, 1.25, 15.00208, 10
