time,nf,ns,fs,fa,fcw,faw,fsew,fshw,fdw,ffw,ss,sa,ssw,sfw,ssize
0.37,297,10,0.9970588,10.37351,1.999734,2.000109,3.999784,10.00055,10.00007,4.999892,1.991277,24.39612,1.998775,1.00227,4.924391
0.38,297,10,0.9970588,10.37351,1.999734,2.000109,3.999784,10.00055,10.00007,4.999892,1.991277,24.39612,1.998775,1.00227,4.924391
0.39,297,10,0.9970588,10.37351,1.999734,2.000109,3.999784,10.00055,10.00007,4.999892,1.991277,24.39612,1.998775,1.00227,4.924391
0.40,297,10,0.9970588,10.37351,1.999734,2.000109,3.999784,10.00055,10.00007,4.999892,1.991277,24.39612,1.998775,1.00227,4.924391
0.41,296,10,0.9971063,10.36261,1.999772,2.000112,3.99976,10.0006,10.00003,4.999933,1.991277,24.39612,1.998775,1.00227,4.924391
0.42,295,10,0.9972211,10.38132,1.999789,2.00011,3.999717,10.00058,10.00006,5.000002,1.991277,24.39612,1.998775,1.00227,4.924391
0.43,295,10,0.9972211,10.38132,1.999789,2.00011,3.999717,10.00058,10.00006,5.000002,1.991277,24.39612,1.998775,1.00227,4.924391
0.44,295,10,0.9972211,10.38132,1.999789,2.00011,3.999717,10.00058,10.00006,5.000002,1.991277,24.39612,1.998775,1.00227,4.924391
0.45,295,10,0.9972211,10.38132,1.999789,2.00011,3.999717,10.00058,10.00006,5.000002,1.991277,24.39612,1.998775,1.00227,4.924391
0.46,295,10,0.9972211,10.38132,1.999789,2.00011,3.999717,10.00058,10.00006,5.000002,1.991277,24.39612,1.998775,1.00227,4.924391
0.47,295,10,0.9972211,10.38132,1.999789,2.00011,3.999717,10.00058,10.00006,5.000002,1.991277,24.39612,1.998775,1.00227,4.924391
0.48,295,10,0.9972211,10.38132,1.999789,2.00011,3.999717,10.00058,10.00006,5.000002,1.991277,24.39612,1.998775,1.00227,4.924391
0.49,294,10,0.9969197,10.39032,1.999825,2.000126,3.999694,10.00057,10.00004,5.000018,1.991277,24.39612,1.998775,1.00227,4.924391
0.50,294,10,0.9969197,10.39032,1.999825,2.000126,3.999694,10.00057,10.00004,5.000018,1.991277,24.39612,1.998775,1.00227,4.924391
0.51,294,10,0.9969197,10.39032,1.999825,2.000126,3.999694,10.00057,10.00004,5.000018,1.991277,24.39612,1.998775,1.00227,4.924391
0.52,294,10,0.9969197,10.39032,1.999825,2.000126,3.999694,10.00057,10.00004,5.000018,1.991277,24.39612,1.998775,1.00227,4.924391
0.53,294,10,0.9969197,10.39032,1.999825,2.000126,3.999694,10.00057,10.00004,5.000018,1.991277,24.39612,1.998775,1.00227,4.924391
0.54,294,10,0.9969197,10.39032,1.999825,2.000126,3.999694,10.00057,10.00004,5.000018,1.991277,24.39612,1.998775,1.00227,4.924391
0.55,294,10,0.9969197,10.39032,1.999825,2.000126,3.999694,10.00057,10.00004,5.000018,1.991277,24.39612,1.998775,1.00227,4.924391
0.56,294,10,0.9969197,10.39032,1.999825,2.000126,3.999694,10.00057,10.00004,5.000018,1.991277,24.39612,1.998775,1.00227,4.924391
0.57,292,10,0.9966061,10.39797,1.999857,2.000154,3.99965,10.0005,10.00001,5.000068,1.991277,24.39612,1.998775,1.00227,4.924391
0.58,292,10,0.9966061,10.39797,1.999857,2.000154,3.99965,10.0005,10.00001,5.000068,1.991277,24.39612,1.998775,1.00227,4.924391
