id,if,is,fsr,frm,srm,far,sar,mfs,sdfs,dfs,mfa,sdfa,dfa,mfcw,sdfcw,dfcw,mfaw,sdfaw,dfaw,mfsew,sdfsew,dfsew,mfshw,sdfshw,dfshw,mfdw,sdfdw,dfdw,mffw,sdffw,dffw,mss,sdss,dss,msa,sdsa,dsa,mssw,sdssw,dssw,msfw,sdsfw,dsfw,mssize,sdssize,dssize
12042017074931,300,10,3,1,1,0.0001,0.0001,1,0.5,0.1,10,15,3,2,1,0.01,2,1,0.01,4,1,0.01,10,1,0.01,10,1,0.01,5,1,0.01,2,0.5,0.1,25,15,2,2,1,0.01,1,1,0.01,5,0.5,0.1
12042017074931,300,10,0.3,1,1,0.0001,0.0001,1.082983,0.5,0.1,16.35624,15,3,1.995647,1,0.01,1.971271,1,0.01,4.031487,1,0.01,10.0154,1,0.01,9.992265,1,0.01,4.973759,1,0.01,2.133677,0.5,0.1,26.35804,15,2,2.004926,1,0.01,1.004763,1,0.01,5.075492,0.5,0.1
