time,nf,ns,fs,fa,fcw,faw,fsew,fshw,fdw,ffw,ss,sa,ssw,sfw,ssize
0.42,996,10,1.003639,9.871252,2.000065,2.000033,4.000215,9.999553,10,5.000075,1.819366,25.43101,2.001892,1.004584,5.138918
0.43,996,10,1.003639,9.871252,2.000065,2.000033,4.000215,9.999553,10,5.000075,1.819366,25.43101,2.001892,1.004584,5.138918
0.44,996,10,1.003639,9.871252,2.000065,2.000033,4.000215,9.999553,10,5.000075,1.819366,25.43101,2.001892,1.004584,5.138918
0.45,995,10,1.003694,9.869117,2.000064,2.000032,4.000211,9.99953,10,5.000069,1.819366,25.43101,2.001892,1.004584,5.138918
0.46,993,10,1.00395,9.872468,2.000062,2.000031,4.000219,9.999531,9.999976,5.000075,1.819366,25.43101,2.001892,1.004584,5.138918
0.47,993,10,1.00395,9.872468,2.000062,2.000031,4.000219,9.999531,9.999976,5.000075,1.819366,25.43101,2.001892,1.004584,5.138918
0.48,992,10,1.00385,9.877799,2.000061,2.00003,4.000218,9.999525,9.999977,5.000076,1.819366,25.43101,2.001892,1.004584,5.138918
0.49,992,10,1.00385,9.877799,2.000061,2.00003,4.000218,9.999525,9.999977,5.000076,1.819366,25.43101,2.001892,1.004584,5.138918
0.50,992,10,1.00385,9.877799,2.000061,2.00003,4.000218,9.999525,9.999977,5.000076,1.819366,25.43101,2.001892,1.004584,5.138918
0.51,992,10,1.00385,9.877799,2.000061,2.00003,4.000218,9.999525,9.999977,5.000076,1.819366,25.43101,2.001892,1.004584,5.138918
0.52,992,10,1.00385,9.877799,2.000061,2.00003,4.000218,9.999525,9.999977,5.000076,1.819366,25.43101,2.001892,1.004584,5.138918
0.53,992,10,1.00385,9.877799,2.000061,2.00003,4.000218,9.999525,9.999977,5.000076,1.819366,25.43101,2.001892,1.004584,5.138918
0.54,992,10,1.00385,9.877799,2.000061,2.00003,4.000218,9.999525,9.999977,5.000076,1.819366,25.43101,2.001892,1.004584,5.138918
0.55,993,10,1.004108,9.88275,2.000047,2.000032,4.00023,9.999526,9.99999,5.000087,1.819366,25.43101,2.001892,1.004584,5.138918
0.56,994,10,1.004089,9.88128,2.000037,2.000045,4.000231,9.999515,10,5.000107,1.819366,25.43101,2.001892,1.004584,5.138918
0.57,994,10,1.004089,9.88128,2.000037,2.000045,4.000231,9.999515,10,5.000107,1.819366,25.43101,2.001892,1.004584,5.138918
0.58,996,10,1.004199,9.885174,2.000047,2.000052,4.000231,9.999551,10.00002,5.000109,1.819366,25.43101,2.001892,1.004584,5.138918
0.59,995,10,1.004193,9.887221,2.000049,2.000059,4.000209,9.999538,10.00004,5.000124,1.819366,25.43101,2.001892,1.004584,5.138918
0.60,997,10,1.004316,9.89247,2.000073,2.000045,4.000202,9.999514,10.00004,5.000126,1.819366,25.43101,2.001892,1.004584,5.138918
0.61,997,10,1.004316,9.89247,2.000073,2.000045,4.000202,9.999514,10.00004,5.000126,1.819366,25.43101,2.001892,1.004584,5.138918
0.62,997,10,1.004316,9.89247,2.000073,2.000045,4.000202,9.999514,10.00004,5.000126,1.819366,25.43101,2.001892,1.004584,5.138918
0.63,997,10,1.004316,9.89247,2.000073,2.000045,4.000202,9.999514,10.00004,5.000126,1.819366,25.43101,2.001892,1.004584,5.138918
0.64,997,10,1.004316,9.89247,2.000073,2.000045,4.000202,9.999514,10.00004,5.000126,1.819366,25.43101,2.001892,1.004584,5.138918
0.65,998,10,1.004406,9.888745,2.000066,2.000034,4.000183,9.999524,10.00004,5.000105,1.819366,25.43101,2.001892,1.004584,5.138918
0.66,998,10,1.004275,9.887089,2.000065,2.000021,4.000165,9.999518,10.00006,5.000078,1.819366,25.43101,2.001892,1.004584,5.138918
0.67,999,10,1.004233,9.883897,2.000059,2.000012,4.000162,9.999502,10.00005,5.000096,1.819366,25.43101,2.001892,1.004584,5.138918
0.68,999,10,1.004233,9.883897,2.000059,2.000012,4.000162,9.999502,10.00005,5.000096,1.819366,25.43101,2.001892,1.004584,5.138918
0.69,999,10,1.004233,9.883897,2.000059,2.000012,4.000162,9.999502,10.00005,5.000096,1.819366,25.43101,2.001892,1.004584,5.138918
0.70,999,10,1.004233,9.883897,2.000059,2.000012,4.000162,9.999502,10.00005,5.000096,1.819366,25.43101,2.001892,1.004584,5.138918
0.71,999,10,1.004233,9.883897,2.000059,2.000012,4.000162,9.999502,10.00005,5.000096,1.819366,25.43101,2.001892,1.004584,5.138918
0.72,1001,10,1.004144,9.874579,2.000025,2.00001,4.000138,9.999493,10.00002,5.000085,1.819366,25.43101,2.001892,1.004584,5.138918
0.73,1001,10,1.004144,9.874579,2.000025,2.00001,4.000138,9.999493,10.00002,5.000085,1.819366,25.43101,2.001892,1.004584,5.138918
0.74,1001,10,1.004144,9.874579,2.000025,2.00001,4.000138,9.999493,10.00002,5.000085,1.819366,25.43101,2.001892,1.004584,5.138918
0.75,1001,10,1.004144,9.874579,2.000025,2.00001,4.000138,9.999493,10.00002,5.000085,1.819366,25.43101,2.001892,1.004584,5.138918
0.76,1003,10,1.004245,9.883939,2.000027,2.000049,4.000152,9.999519,10.00002,5.000084,1.819366,25.43101,2.001892,1.004584,5.138918
0.77,1003,10,1.004245,9.883939,2.000027,2.000049,4.000152,9.999519,10.00002,5.000084,1.819366,25.43101,2.001892,1.004584,5.138918
0.78,1003,10,1.004245,9.883939,2.000027,2.000049,4.000152,9.999519,10.00002,5.000084,1.819366,25.43101,2.001892,1.004584,5.138918
0.79,1003,10,1.004245,9.883939,2.000027,2.000049,4.000152,9.999519,10.00002,5.000084,1.819366,25.43101,2.001892,1.004584,5.138918
0.80,1005,10,1.00444,9.892377,1.999989,2.000046,4.000131,9.999517,10.00004,5.000088,1.819366,25.43101,2.001892,1.004584,5.138918
0.81,1005,10,1.00444,9.892377,1.999989,2.000046,4.000131,9.999517,10.00004,5.000088,1.819366,25.43101,2.001892,1.004584,5.138918
0.82,1006,10,1.004449,9.896894,1.999996,2.000035,4.000148,9.999528,10.00004,5.000113,1.819366,25.43101,2.001892,1.004584,5.138918
0.83,1007,10,1.004482,9.8998,1.999974,2.000022,4.000144,9.999506,10.00003,5.000105,1.819366,25.43101,2.001892,1.004584,5.138918
