time,nf,ns,fs,fa,fcw,faw,fsew,fshw,fdw,ffw,ss,sa,ssw,sfw,ssize
0,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.01,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.02,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.03,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.04,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.05,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.06,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.07,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.08,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.09,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.10,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.11,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.12,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.13,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.14,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.15,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.16,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.17,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.18,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.19,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.20,300,10,1.006281,10.08556,2.000458,2.000468,4.00035,9.999766,9.999949,5.000508,2.029095,24.7415,2.000478,0.9927295,4.715633
0.21,298,10,1.006462,10.0738,2.000558,2.000439,4.000295,9.999736,9.99991,5.000521,2.029095,24.7415,2.000478,0.9927295,4.715633
0.22,298,10,1.006462,10.0738,2.000558,2.000439,4.000295,9.999736,9.99991,5.000521,2.029095,24.7415,2.000478,0.9927295,4.715633
