time,nf,ns,fs,fa,fcw,faw,fsew,fshw,fdw,ffw,ss,sa,ssw,sfw,ssize
0,300,10,1.010231,10.20765,1.999788,1.999422,4.000697,10.00022,9.999572,5.000171,2.000125,25.408,2.000379,0.9994882,4.935514
0.01,300,10,1.010231,10.20765,1.999788,1.999422,4.000697,10.00022,9.999572,5.000171,2.000125,25.408,2.000379,0.9994882,4.935514
0.02,300,10,1.010231,10.20765,1.999788,1.999422,4.000697,10.00022,9.999572,5.000171,2.000125,25.408,2.000379,0.9994882,4.935514
0.03,300,10,1.010231,10.20765,1.999788,1.999422,4.000697,10.00022,9.999572,5.000171,2.000125,25.408,2.000379,0.9994882,4.935514
0.04,300,10,1.010231,10.20765,1.999788,1.999422,4.000697,10.00022,9.999572,5.000171,2.000125,25.408,2.000379,0.9994882,4.935514
0.05,300,10,1.010231,10.20765,1.999788,1.999422,4.000697,10.00022,9.999572,5.000171,2.000125,25.408,2.000379,0.9994882,4.935514
0.06,299,10,1.010005,10.21267,1.999738,1.99943,4.000718,10.00021,9.999539,5.000129,2.000125,25.408,2.000379,0.9994882,4.935514
0.07,299,10,1.010005,10.21267,1.999738,1.99943,4.000718,10.00021,9.999539,5.000129,2.000125,25.408,2.000379,0.9994882,4.935514
0.08,299,10,1.010005,10.21267,1.999738,1.99943,4.000718,10.00021,9.999539,5.000129,2.000125,25.408,2.000379,0.9994882,4.935514
0.09,299,10,1.010005,10.21267,1.999738,1.99943,4.000718,10.00021,9.999539,5.000129,2.000125,25.408,2.000379,0.9994882,4.935514
0.10,299,10,1.010005,10.21267,1.999738,1.99943,4.000718,10.00021,9.999539,5.000129,2.000125,25.408,2.000379,0.9994882,4.935514
0.11,298,10,1.010313,10.20439,1.999713,1.9994,4.000749,10.00021,9.999532,5.000161,2.000125,25.408,2.000379,0.9994882,4.935514
0.12,298,10,1.010313,10.20439,1.999713,1.9994,4.000749,10.00021,9.999532,5.000161,2.000125,25.408,2.000379,0.9994882,4.935514
0.13,298,10,1.010313,10.20439,1.999713,1.9994,4.000749,10.00021,9.999532,5.000161,2.000125,25.408,2.000379,0.9994882,4.935514
0.14,298,10,1.010313,10.20439,1.999713,1.9994,4.000749,10.00021,9.999532,5.000161,2.000125,25.408,2.000379,0.9994882,4.935514
0.15,298,10,1.010313,10.20439,1.999713,1.9994,4.000749,10.00021,9.999532,5.000161,2.000125,25.408,2.000379,0.9994882,4.935514
0.16,298,10,1.010313,10.20439,1.999713,1.9994,4.000749,10.00021,9.999532,5.000161,2.000125,25.408,2.000379,0.9994882,4.935514
0.17,298,10,1.010313,10.20439,1.999713,1.9994,4.000749,10.00021,9.999532,5.000161,2.000125,25.408,2.000379,0.9994882,4.935514
0.18,298,10,1.010313,10.20439,1.999713,1.9994,4.000749,10.00021,9.999532,5.000161,2.000125,25.408,2.000379,0.9994882,4.935514
0.19,298,10,1.010313,10.20439,1.999713,1.9994,4.000749,10.00021,9.999532,5.000161,2.000125,25.408,2.000379,0.9994882,4.935514
0.20,298,10,1.010313,10.20439,1.999713,1.9994,4.000749,10.00021,9.999532,5.000161,2.000125,25.408,2.000379,0.9994882,4.935514
0.21,297,10,1.0103,10.22876,1.999687,1.999448,4.000757,10.00026,9.999539,5.000222,2.000125,25.408,2.000379,0.9994882,4.935514
0.22,296,10,1.010749,10.23405,1.999741,1.999408,4.000737,10.0003,9.999559,5.00023,2.000125,25.408,2.000379,0.9994882,4.935514
0.23,296,10,1.010749,10.23405,1.999741,1.999408,4.000737,10.0003,9.999559,5.00023,2.000125,25.408,2.000379,0.9994882,4.935514
0.24,296,10,1.010749,10.23405,1.999741,1.999408,4.000737,10.0003,9.999559,5.00023,2.000125,25.408,2.000379,0.9994882,4.935514
0.25,296,10,1.010749,10.23405,1.999741,1.999408,4.000737,10.0003,9.999559,5.00023,2.000125,25.408,2.000379,0.9994882,4.935514
0.26,296,10,1.010749,10.23405,1.999741,1.999408,4.000737,10.0003,9.999559,5.00023,2.000125,25.408,2.000379,0.9994882,4.935514
0.27,296,10,1.010749,10.23405,1.999741,1.999408,4.000737,10.0003,9.999559,5.00023,2.000125,25.408,2.000379,0.9994882,4.935514
