time,nf,ns,fs,fa,fcw,faw,fsew,fshw,fdw,ffw,ss,sa,ssw,sfw,ssize
0,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.01,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.02,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.03,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.04,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.05,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.06,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.07,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.08,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.09,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.10,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.11,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.12,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.13,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.14,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.15,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.16,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.17,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.18,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.19,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.20,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.21,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.22,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
0.23,400,10,1.000658,10.08509,2.000086,2.000386,3.999548,9.999546,9.999464,5.000161,1.757274,25.14002,2.001786,0.994805,4.839334
