time,nf,ns,fs,fa,fcw,faw,fsew,fshw,fdw,ffw,ss,sa,ssw,sfw,ssize
0,300,3,0.999777,9.865757,1.99993,1.999701,4.000769,10.00008,10.00044,5.000319,1.76758,24.89813,2.005264,1.004838,4.940803
0.01,300,3,0.999777,9.865757,1.99993,1.999701,4.000769,10.00008,10.00044,5.000319,1.76758,24.89813,2.005264,1.004838,4.940803
0.02,300,3,0.999777,9.865757,1.99993,1.999701,4.000769,10.00008,10.00044,5.000319,1.76758,24.89813,2.005264,1.004838,4.940803
0.03,300,3,0.999777,9.865757,1.99993,1.999701,4.000769,10.00008,10.00044,5.000319,1.76758,24.89813,2.005264,1.004838,4.940803
0.04,300,3,0.999777,9.865757,1.99993,1.999701,4.000769,10.00008,10.00044,5.000319,1.76758,24.89813,2.005264,1.004838,4.940803
0.05,300,3,0.999777,9.865757,1.99993,1.999701,4.000769,10.00008,10.00044,5.000319,1.76758,24.89813,2.005264,1.004838,4.940803
0.06,300,3,0.999777,9.865757,1.99993,1.999701,4.000769,10.00008,10.00044,5.000319,1.76758,24.89813,2.005264,1.004838,4.940803
0.07,300,3,0.999777,9.865757,1.99993,1.999701,4.000769,10.00008,10.00044,5.000319,1.76758,24.89813,2.005264,1.004838,4.940803
0.08,300,3,0.999777,9.865757,1.99993,1.999701,4.000769,10.00008,10.00044,5.000319,1.76758,24.89813,2.005264,1.004838,4.940803
0.09,300,3,0.999777,9.865757,1.99993,1.999701,4.000769,10.00008,10.00044,5.000319,1.76758,24.89813,2.005264,1.004838,4.940803
0.10,299,3,1.000281,9.871561,1.9999,1.999704,4.000749,10.00009,10.00047,5.000377,1.76758,24.89813,2.005264,1.004838,4.940803
0.11,299,3,1.000281,9.871561,1.9999,1.999704,4.000749,10.00009,10.00047,5.000377,1.76758,24.89813,2.005264,1.004838,4.940803
0.12,299,3,1.000281,9.871561,1.9999,1.999704,4.000749,10.00009,10.00047,5.000377,1.76758,24.89813,2.005264,1.004838,4.940803
0.13,299,3,1.000281,9.871561,1.9999,1.999704,4.000749,10.00009,10.00047,5.000377,1.76758,24.89813,2.005264,1.004838,4.940803
0.14,299,3,1.000281,9.871561,1.9999,1.999704,4.000749,10.00009,10.00047,5.000377,1.76758,24.89813,2.005264,1.004838,4.940803
0.15,299,3,1.000281,9.871561,1.9999,1.999704,4.000749,10.00009,10.00047,5.000377,1.76758,24.89813,2.005264,1.004838,4.940803
0.16,299,3,1.000281,9.871561,1.9999,1.999704,4.000749,10.00009,10.00047,5.000377,1.76758,24.89813,2.005264,1.004838,4.940803
0.17,299,3,1.000281,9.871561,1.9999,1.999704,4.000749,10.00009,10.00047,5.000377,1.76758,24.89813,2.005264,1.004838,4.940803
0.18,299,3,1.000281,9.871561,1.9999,1.999704,4.000749,10.00009,10.00047,5.000377,1.76758,24.89813,2.005264,1.004838,4.940803
0.19,299,3,1.000281,9.871561,1.9999,1.999704,4.000749,10.00009,10.00047,5.000377,1.76758,24.89813,2.005264,1.004838,4.940803
0.20,299,3,1.000281,9.871561,1.9999,1.999704,4.000749,10.00009,10.00047,5.000377,1.76758,24.89813,2.005264,1.004838,4.940803
0.21,299,3,1.000281,9.871561,1.9999,1.999704,4.000749,10.00009,10.00047,5.000377,1.76758,24.89813,2.005264,1.004838,4.940803
0.22,299,3,1.000281,9.871561,1.9999,1.999704,4.000749,10.00009,10.00047,5.000377,1.76758,24.89813,2.005264,1.004838,4.940803
0.23,299,3,1.000281,9.871561,1.9999,1.999704,4.000749,10.00009,10.00047,5.000377,1.76758,24.89813,2.005264,1.004838,4.940803
0.24,299,3,1.000281,9.871561,1.9999,1.999704,4.000749,10.00009,10.00047,5.000377,1.76758,24.89813,2.005264,1.004838,4.940803
0.25,298,3,1.000536,9.869965,1.999873,1.999675,4.000762,10.00008,10.00048,5.000325,1.76758,24.89813,2.005264,1.004838,4.940803
0.26,298,3,1.000536,9.869965,1.999873,1.999675,4.000762,10.00008,10.00048,5.000325,1.76758,24.89813,2.005264,1.004838,4.940803
0.27,298,3,1.000536,9.869965,1.999873,1.999675,4.000762,10.00008,10.00048,5.000325,1.76758,24.89813,2.005264,1.004838,4.940803
0.28,298,3,1.000536,9.869965,1.999873,1.999675,4.000762,10.00008,10.00048,5.000325,1.76758,24.89813,2.005264,1.004838,4.940803
0.29,298,3,1.000536,9.869965,1.999873,1.999675,4.000762,10.00008,10.00048,5.000325,1.76758,24.89813,2.005264,1.004838,4.940803
0.30,298,3,1.000536,9.869965,1.999873,1.999675,4.000762,10.00008,10.00048,5.000325,1.76758,24.89813,2.005264,1.004838,4.940803
0.31,298,3,1.000536,9.869965,1.999873,1.999675,4.000762,10.00008,10.00048,5.000325,1.76758,24.89813,2.005264,1.004838,4.940803
0.32,298,3,1.000536,9.869965,1.999873,1.999675,4.000762,10.00008,10.00048,5.000325,1.76758,24.89813,2.005264,1.004838,4.940803
0.33,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.34,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.35,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.36,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.37,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.38,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.39,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.40,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.41,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.42,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.43,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.44,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.45,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.46,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.47,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.48,297,3,1.000418,9.886064,1.999879,1.999625,4.000725,10.00004,10.00053,5.000311,1.76758,24.89813,2.005264,1.004838,4.940803
0.49,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.50,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.51,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.52,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.53,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.54,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.55,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.56,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.57,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.58,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.59,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.60,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.61,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.62,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.63,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.64,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.65,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.66,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.67,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.68,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.69,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.70,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.71,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.72,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.73,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.74,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.75,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.76,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.77,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.78,296,3,1.000194,9.876908,1.999899,1.999585,4.000694,9.999997,10.00054,5.000269,1.76758,24.89813,2.005264,1.004838,4.940803
0.79,295,3,1.00041,9.881153,1.999882,1.999531,4.000634,10,10.0005,5.000263,1.76758,24.89813,2.005264,1.004838,4.940803
0.80,295,3,1.00041,9.881153,1.999882,1.999531,4.000634,10,10.0005,5.000263,1.76758,24.89813,2.005264,1.004838,4.940803
0.81,295,3,1.00041,9.881153,1.999882,1.999531,4.000634,10,10.0005,5.000263,1.76758,24.89813,2.005264,1.004838,4.940803
0.82,294,3,1.000459,9.881157,1.999816,1.999606,4.000674,10,10.0005,5.000239,1.76758,24.89813,2.005264,1.004838,4.940803
0.83,294,3,1.000459,9.881157,1.999816,1.999606,4.000674,10,10.0005,5.000239,1.76758,24.89813,2.005264,1.004838,4.940803
0.84,294,3,1.000459,9.881157,1.999816,1.999606,4.000674,10,10.0005,5.000239,1.76758,24.89813,2.005264,1.004838,4.940803
0.85,294,3,1.000459,9.881157,1.999816,1.999606,4.000674,10,10.0005,5.000239,1.76758,24.89813,2.005264,1.004838,4.940803
0.86,293,4,1.000577,9.895693,1.999748,1.999676,4.000679,10.00002,10.00045,5.000239,1.776615,25.9443,2.00756,1.007283,5.064554
0.87,293,4,1.000577,9.895693,1.999748,1.999676,4.000679,10.00002,10.00045,5.000239,1.776615,25.9443,2.00756,1.007283,5.064554
0.88,293,4,1.000577,9.895693,1.999748,1.999676,4.000679,10.00002,10.00045,5.000239,1.776615,25.9443,2.00756,1.007283,5.064554
0.89,293,4,1.000577,9.895693,1.999748,1.999676,4.000679,10.00002,10.00045,5.000239,1.776615,25.9443,2.00756,1.007283,5.064554
0.90,293,4,1.000577,9.895693,1.999748,1.999676,4.000679,10.00002,10.00045,5.000239,1.776615,25.9443,2.00756,1.007283,5.064554
0.91,293,4,1.000577,9.895693,1.999748,1.999676,4.000679,10.00002,10.00045,5.000239,1.776615,25.9443,2.00756,1.007283,5.064554
0.92,293,4,1.000577,9.895693,1.999748,1.999676,4.000679,10.00002,10.00045,5.000239,1.776615,25.9443,2.00756,1.007283,5.064554
0.93,293,4,1.000577,9.895693,1.999748,1.999676,4.000679,10.00002,10.00045,5.000239,1.776615,25.9443,2.00756,1.007283,5.064554
0.94,293,4,1.000577,9.895693,1.999748,1.999676,4.000679,10.00002,10.00045,5.000239,1.776615,25.9443,2.00756,1.007283,5.064554
0.95,293,4,1.000577,9.895693,1.999748,1.999676,4.000679,10.00002,10.00045,5.000239,1.776615,25.9443,2.00756,1.007283,5.064554
0.96,293,4,1.000577,9.895693,1.999748,1.999676,4.000679,10.00002,10.00045,5.000239,1.776615,25.9443,2.00756,1.007283,5.064554
0.97,293,4,1.000577,9.895693,1.999748,1.999676,4.000679,10.00002,10.00045,5.000239,1.776615,25.9443,2.00756,1.007283,5.064554
0.98,293,4,1.000577,9.895693,1.999748,1.999676,4.000679,10.00002,10.00045,5.000239,1.776615,25.9443,2.00756,1.007283,5.064554
0.99,294,4,1.000587,9.90872,1.99966,1.999635,4.000616,9.999965,10.0004,5.000232,1.776615,25.9443,2.00756,1.007283,5.064554
1.00,294,4,1.000587,9.90872,1.99966,1.999635,4.000616,9.999965,10.0004,5.000232,1.776615,25.9443,2.00756,1.007283,5.064554
1.01,294,4,1.000587,9.90872,1.99966,1.999635,4.000616,9.999965,10.0004,5.000232,1.776615,25.9443,2.00756,1.007283,5.064554
1.02,294,4,1.000587,9.90872,1.99966,1.999635,4.000616,9.999965,10.0004,5.000232,1.776615,25.9443,2.00756,1.007283,5.064554
1.03,294,4,1.000587,9.90872,1.99966,1.999635,4.000616,9.999965,10.0004,5.000232,1.776615,25.9443,2.00756,1.007283,5.064554
1.04,294,4,1.000587,9.90872,1.99966,1.999635,4.000616,9.999965,10.0004,5.000232,1.776615,25.9443,2.00756,1.007283,5.064554
1.05,294,4,1.000587,9.90872,1.99966,1.999635,4.000616,9.999965,10.0004,5.000232,1.776615,25.9443,2.00756,1.007283,5.064554
1.06,294,4,1.000587,9.90872,1.99966,1.999635,4.000616,9.999965,10.0004,5.000232,1.776615,25.9443,2.00756,1.007283,5.064554
1.07,294,4,1.000587,9.90872,1.99966,1.999635,4.000616,9.999965,10.0004,5.000232,1.776615,25.9443,2.00756,1.007283,5.064554
1.08,294,4,1.000587,9.90872,1.99966,1.999635,4.000616,9.999965,10.0004,5.000232,1.776615,25.9443,2.00756,1.007283,5.064554
1.09,294,4,1.000587,9.90872,1.99966,1.999635,4.000616,9.999965,10.0004,5.000232,1.776615,25.9443,2.00756,1.007283,5.064554
1.10,294,4,1.000587,9.90872,1.99966,1.999635,4.000616,9.999965,10.0004,5.000232,1.776615,25.9443,2.00756,1.007283,5.064554
1.11,294,4,1.000587,9.90872,1.99966,1.999635,4.000616,9.999965,10.0004,5.000232,1.776615,25.9443,2.00756,1.007283,5.064554
1.12,294,4,1.000587,9.90872,1.99966,1.999635,4.000616,9.999965,10.0004,5.000232,1.776615,25.9443,2.00756,1.007283,5.064554
1.13,294,4,1.000587,9.90872,1.99966,1.999635,4.000616,9.999965,10.0004,5.000232,1.776615,25.9443,2.00756,1.007283,5.064554
1.14,295,4,1.00068,9.893533,1.999611,1.999632,4.000696,9.999971,10.00044,5.000278,1.776615,25.9443,2.00756,1.007283,5.064554
1.15,295,4,1.00068,9.893533,1.999611,1.999632,4.000696,9.999971,10.00044,5.000278,1.776615,25.9443,2.00756,1.007283,5.064554
1.16,295,4,1.00068,9.893533,1.999611,1.999632,4.000696,9.999971,10.00044,5.000278,1.776615,25.9443,2.00756,1.007283,5.064554
1.17,294,4,1.000608,9.887693,1.99959,1.999664,4.000682,9.999937,10.0004,5.000278,1.776615,25.9443,2.00756,1.007283,5.064554
1.18,294,4,1.000608,9.887693,1.99959,1.999664,4.000682,9.999937,10.0004,5.000278,1.776615,25.9443,2.00756,1.007283,5.064554
1.19,294,4,1.000608,9.887693,1.99959,1.999664,4.000682,9.999937,10.0004,5.000278,1.776615,25.9443,2.00756,1.007283,5.064554
1.20,294,4,1.000608,9.887693,1.99959,1.999664,4.000682,9.999937,10.0004,5.000278,1.776615,25.9443,2.00756,1.007283,5.064554
1.21,294,4,1.000608,9.887693,1.99959,1.999664,4.000682,9.999937,10.0004,5.000278,1.776615,25.9443,2.00756,1.007283,5.064554
1.22,294,4,1.000608,9.887693,1.99959,1.999664,4.000682,9.999937,10.0004,5.000278,1.776615,25.9443,2.00756,1.007283,5.064554
1.23,293,4,1.000743,9.897856,1.999608,1.999687,4.000637,9.999931,10.00038,5.000302,1.776615,25.9443,2.00756,1.007283,5.064554
1.24,293,4,1.000743,9.897856,1.999608,1.999687,4.000637,9.999931,10.00038,5.000302,1.776615,25.9443,2.00756,1.007283,5.064554
1.25,293,4,1.000743,9.897856,1.999608,1.999687,4.000637,9.999931,10.00038,5.000302,1.776615,25.9443,2.00756,1.007283,5.064554
1.26,293,4,1.000743,9.897856,1.999608,1.999687,4.000637,9.999931,10.00038,5.000302,1.776615,25.9443,2.00756,1.007283,5.064554
