time,nf,ns,fs,fa,fcw,faw,fsew,fshw,fdw,ffw,ss,sa,ssw,sfw,ssize
0,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.01,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.02,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.03,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.04,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.05,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.06,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.07,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.08,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.09,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.10,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.11,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.12,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.13,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.14,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.15,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.16,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.17,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.18,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.19,300,3,1.001302,9.919923,2.000293,1.999355,3.999949,10.00116,9.999448,4.999647,2.057186,25.68846,2.002779,0.9926979,4.938516
0.20,299,3,1.001775,9.926269,2.000303,1.999394,3.999924,10.00109,9.999441,4.999604,2.057186,25.68846,2.002779,0.9926979,4.938516
0.21,299,3,1.001775,9.926269,2.000303,1.999394,3.999924,10.00109,9.999441,4.999604,2.057186,25.68846,2.002779,0.9926979,4.938516
0.22,299,3,1.001775,9.926269,2.000303,1.999394,3.999924,10.00109,9.999441,4.999604,2.057186,25.68846,2.002779,0.9926979,4.938516
0.23,299,3,1.001775,9.926269,2.000303,1.999394,3.999924,10.00109,9.999441,4.999604,2.057186,25.68846,2.002779,0.9926979,4.938516
0.24,298,3,1.001694,9.931404,2.000288,1.999334,3.999936,10.00111,9.999422,4.99963,2.057186,25.68846,2.002779,0.9926979,4.938516
0.25,297,3,1.001602,9.932077,2.000274,1.999283,3.999914,10.00107,9.999485,4.999636,2.057186,25.68846,2.002779,0.9926979,4.938516
0.26,297,3,1.001602,9.932077,2.000274,1.999283,3.999914,10.00107,9.999485,4.999636,2.057186,25.68846,2.002779,0.9926979,4.938516
0.27,297,3,1.001602,9.932077,2.000274,1.999283,3.999914,10.00107,9.999485,4.999636,2.057186,25.68846,2.002779,0.9926979,4.938516
